GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
5541,Michael Sanchez,Arkansas,2009,So,8,3,1,0,0,0,2,0,0,1,0,0,11,5
2330,Michael Washington,Arkansas,2009,Sr,98,60,41,16,15,15,86,28,13,23,6,5,124,79
5544,Stefan Welsh,Arkansas,2009,Sr,24,16,5,0,0,0,25,3,0,66,18,18,26,15
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,16,7,4,0,0,0,23,7,5,18,3,3,24,16
16996,Nathan Hedgecock,Army,2009,Jr,2,0,0,0,0,0,1,0,0,12,4,4,0,0
16987,Jeremy Hence,Army,2009,Jr,44,25,13,0,0,0,22,4,1,28,8,8,39,19
16995,Mitch McDonald,Army,2009,Jr,11,4,2,0,0,0,9,4,2,2,0,0,3,3
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,2,0,0,0,0
16991,Josh Miller,Army,2009,Sr,25,14,2,0,0,0,44,13,4,79,25,17,26,17
16994,Marcus Nelson,Army,2009,Sr,53,31,7,0,0,0,21,5,0,3,0,0,33,16
16986,Jason Pancoe,Army,2009,Fr,1,1,1,0,0,0,2,0,0,11,1,1,3,2
16983,Cleveland Richard,Army,2009,Sr,53,33,14,0,0,0,111,32,10,90,33,30,56,42
16992,Julian Simmons,Army,2009,So,25,13,1,0,0,0,69,20,7,101,42,40,35,30
16989,Jon Sizemore,Army,2009,Sr,8,5,1,0,0,0,22,10,3,1,0,0,5,2
16990,Jordan Springer,Army,2009,Fr,2,1,1,0,0,0,1,0,0,0,0,0,4,3
16998,Tyrell Thompson,Army,2009,Sr,24,13,1,0,0,0,21,5,3,17,6,5,9,7
16982,Chris Walker,Army,2009,Sr,77,40,22,0,0,0,33,14,5,0,0,0,28,17
16985,Eric Zastoupil,Army,2009,Sr,37,24,12,0,0,0,25,11,8,5,0,0,27,21
5590,Ty Armstrong,Auburn,2009,Fr,20,13,6,4,4,3,20,7,1,0,0,0,12,6
5587,Rob Chubb,Auburn,2009,Fr,5,3,2,0,0,0,2,1,0,0,0,0,2,1
5581,Jake Drum,Auburn,2009,So,2,2,1,0,0,0,0,0,0,2,1,1,0,0
5584,Kenny Gabriel,Auburn,2009,So,4,2,1,1,1,0,10,6,4,32,10,8,4,3
5586,Lucas Hargrove,Auburn,2009,Sr,88,59,21,7,6,2,78,32,9,76,21,18,78,54
5578,Brendan Knox,Auburn,2009,Sr,112,80,47,25,22,18,27,12,4,1,0,0,105,52
5582,Johnnie Lett,Auburn,2009,Sr,32,19,7,1,1,1,18,3,0,1,0,0,26,9
5577,Andre Malone,Auburn,2009,Fr,12,7,4,3,2,1,18,4,2,46,10,10,5,2
5589,Tony Neysmith,Auburn,2009,So,1,0,0,0,0,0,1,1,0,1,0,0,2,0
4818,DeWayne Reed,Auburn,2009,Sr,81,32,3,2,0,0,61,17,1,109,34,20,93,68
5579,Earnest Ross,Auburn,2009,Fr,15,7,2,0,0,0,12,2,1,53,12,12,14,9
5580,Frankie Sullivan,Auburn,2009,So,40,24,2,1,1,1,34,12,1,129,52,48,37,32
5583,Josh Wallace,Auburn,2009,Fr,5,1,0,0,0,0,5,4,0,4,1,1,10,5
5588,Tay Waller,Auburn,2009,Sr,11,7,5,0,0,0,40,22,2,136,56,47,25,21
5585,"Larry Williams, Jr.",Auburn,2009,Jr,1,1,0,0,0,0,2,2,0,7,1,1,3,2
11659,Justin Blake,Austin Peay,2009,Fr,12,6,3,0,0,0,11,5,2,76,27,25,18,10
11650,Caleb Brown,Austin Peay,2009,Jr,32,16,3,0,0,0,54,14,1,35,10,10,58,45
11661,Tyrone Caldwell,Austin Peay,2009,So,37,20,1,0,0,0,22,8,1,33,15,10,41,32
9444,Anthony Campbell,Austin Peay,2009,So,56,35,22,1,1,1,66,29,10,128,49,47,56,46
11662,Wesley Channels,Austin Peay,2009,Sr,68,32,9,0,0,0,111,35,4,127,53,52,103,75
11655,Ernest Fields,Austin Peay,2009,Sr,15,9,5,0,0,0,4,0,0,0,0,0,4,3
11658,John Fraley,Austin Peay,2009,So,116,73,41,25,22,17,62,18,9,0,0,0,108,71
11654,Eric Mosley,Austin Peay,2009,Fr,2,2,0,0,0,0,10,5,0,12,1,1,12,9
