GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
19033,Kevin Dukes,Bethune-Cookman,2009,Fr,0.000,0.000,100.00%
19035,"Stanley Elliott, Jr.",Bethune-Cookman,2009,So,0.038,0.017,84.75%
19031,"Jerry Jones, Jr.",Bethune-Cookman,2009,So,0.133,0.087,0.00%
19027,Aric Miller,Bethune-Cookman,2009,Fr,0.167,0.088,65.63%
19028,C.J. Reed,Bethune-Cookman,2009,So,0.103,0.028,72.87%
19025,Alexander Starling,Bethune-Cookman,2009,Jr,0.106,0.065,64.44%
19029,Jarrell Thomas,Bethune-Cookman,2009,Sr,0.143,0.077,54.55%
19026,Antroine Williford,Bethune-Cookman,2009,Fr,0.000,0.000,85.71%
17646,Moussa Camara,Binghamton,2009,Jr,0.138,0.068,83.72%
17642,Jimmy Gray,Binghamton,2009,Fr,0.000,0.000,0.00%
17647,Pina Guillaume,Binghamton,2009,Fr,0.176,0.053,73.68%
17645,Mike Horn,Binghamton,2009,Fr,NA,NA,NA
17644,Mahamoud Jabbi,Binghamton,2009,Jr,0.016,0.007,78.95%
17649,Taylor Johnston,Binghamton,2009,Fr,0.333,0.143,50.00%
17639,Chretien Lukusa,Binghamton,2009,Jr,0.134,0.067,77.92%
17648,Preston Pena,Binghamton,2009,Jr,NA,NA,NA
17650,Umur Peten,Binghamton,2009,Jr,0.000,0.000,87.50%
17641,Javon Ralling,Binghamton,2009,Fr,NA,NA,NA
17643,Kyrie Sutton,Binghamton,2009,So,0.087,0.035,76.92%
17640,Dylan Talley,Binghamton,2009,Fr,0.145,0.060,75.00%
9555,Greer Wright,Binghamton,2009,Jr,0.178,0.088,73.38%
8758,La'Shard Anderson,Boise State,2009,Jr,0.017,0.006,83.54%
8761,Robert Arnold,Boise State,2009,Jr,0.096,0.040,64.47%
8757,Kurt Cunningham,Boise State,2009,Sr,0.192,0.088,65.63%
8759,Nate Larsen,Boise State,2009,Sr,NA,NA,NA
8753,Daequon Montreal,Boise State,2009,Jr,0.098,0.053,82.29%
8766,Zack Moritz,Boise State,2009,Jr,0.059,0.025,75.00%
8760,Paul Noonan,Boise State,2009,Jr,0.235,0.098,45.45%
8755,Ike Okoye,Boise State,2009,Sr,0.151,0.057,67.50%
8765,Westly Perryman,Boise State,2009,RS-Jr,0.000,0.000,50.00%
8756,Justin Salzwedel,Boise State,2009,Jr,NA,NA,50.00%
8752,Anthony Thomas,Boise State,2009,Sr,0.059,0.023,76.19%
8764,Tyler Young,Boise State,2009,Fr,NA,0.000,0.00%
3764,Cortney Dunn,Boston College,2009,Jr,0.045,0.036,72.73%
3765,Dallas Elmore,Boston College,2009,So,0.029,0.013,78.95%
