GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
6645,Dondre Wise,Arizona,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,44,36.36%,34.09%,13.64%,52.27%,4.55%,32,6.25%,50.00%,43.75%
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,0.00%,0.00%,100.00%,0.00%,0.00%,3,0.00%,100.00%,0.00%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,25,28.00%,40.00%,20.00%,40.00%,16.00%,30,3.33%,43.33%,53.33%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,1,100.00%,100.00%,0.00%,0.00%,0.00%,1,0.00%,0.00%,100.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,6,50.00%,66.67%,16.67%,16.67%,33.33%,8,0.00%,75.00%,25.00%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,13,15.38%,23.08%,30.77%,46.15%,0.00%,20,10.00%,40.00%,50.00%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,2,0.00%,0.00%,50.00%,50.00%,0.00%,4,0.00%,25.00%,75.00%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,4,25.00%,50.00%,0.00%,50.00%,0.00%,3,0.00%,66.67%,33.33%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,6,33.33%,100.00%,0.00%,0.00%,16.67%,8,0.00%,37.50%,62.50%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,5,20.00%,80.00%,0.00%,20.00%,0.00%,10,10.00%,60.00%,30.00%
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0,NA,NA,NA,NA,NA,3,0.00%,100.00%,0.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,13,15.38%,7.69%,53.85%,38.46%,0.00%,22,4.55%,40.91%,54.55%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,14,35.71%,28.57%,14.29%,57.14%,0.00%,23,13.04%,26.09%,60.87%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,5,20.00%,20.00%,40.00%,40.00%,0.00%,17,11.76%,41.18%,47.06%
4550,Martavius Adams,Arkansas State ,2009,So,2,50.00%,100.00%,0.00%,0.00%,50.00%,6,16.67%,16.67%,66.67%
19725,Rashad Allison,Arkansas State ,2009,Jr,8,62.50%,37.50%,50.00%,12.50%,12.50%,10,0.00%,60.00%,40.00%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5976,JeJuan Brown,Arkansas State ,2009,Jr,2,0.00%,50.00%,50.00%,0.00%,0.00%,8,0.00%,37.50%,62.50%
19718,Daniel Bryant,Arkansas State ,2009,So,5,40.00%,20.00%,20.00%,60.00%,20.00%,12,0.00%,41.67%,58.33%
19721,Justin Butler,Arkansas State ,2009,Jr,1,100.00%,100.00%,0.00%,0.00%,0.00%,0,NA,NA,NA
19726,Trey Finn,Arkansas State ,2009,Fr,14,28.57%,28.57%,21.43%,50.00%,0.00%,7,0.00%,71.43%,28.57%
19724,Michael Lance,Arkansas State ,2009,Sr,1,0.00%,0.00%,0.00%,100.00%,0.00%,0,NA,NA,NA
19716,Brandon Peterson,Arkansas State ,2009,Fr,1,0.00%,0.00%,100.00%,0.00%,0.00%,5,20.00%,20.00%,60.00%
19717,Brandon Reed,Arkansas State ,2009,Fr,4,25.00%,75.00%,25.00%,0.00%,0.00%,13,0.00%,76.92%,23.08%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
19720,Jeremy Thomas,Arkansas State ,2009,Jr,1,0.00%,0.00%,0.00%,100.00%,0.00%,1,0.00%,0.00%,100.00%
5539,Marcus Britt,Arkansas,2009,Jr,24,12.50%,58.33%,4.17%,37.50%,16.67%,18,0.00%,66.67%,33.33%
5536,Glenn Bryant,Arkansas,2009,Fr,4,0.00%,75.00%,0.00%,25.00%,25.00%,3,0.00%,33.33%,66.67%
5543,Rotnei Clarke,Arkansas,2009,So,21,28.57%,33.33%,23.81%,42.86%,14.29%,20,5.00%,45.00%,50.00%
5545,Stephen Cox,Arkansas,2009,Jr,3,33.33%,66.67%,33.33%,0.00%,0.00%,0,NA,NA,NA
5537,Jemal Farmer,Arkansas,2009,Jr,8,25.00%,37.50%,25.00%,37.50%,12.50%,17,17.65%,35.29%,47.06%
3642,Courtney Fortson,Arkansas,2009,So,82,42.68%,54.88%,10.98%,34.15%,19.51%,74,8.11%,50.00%,41.89%
5535,Delvon Johnson,Arkansas,2009,Jr,2,0.00%,100.00%,0.00%,0.00%,0.00%,8,12.50%,25.00%,62.50%
5534,Cody Lay,Arkansas,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5542,Nick Mason,Arkansas,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
