GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
2411,Jerime Anderson,UCLA,2011,8,2,4,2,1,3,1,1,3,0,11
2412,Drew Gordon,UCLA,2009,12,4,5,1,2,3,0,0,2,0,1
2412,Drew Gordon,New Mexico,2010,34,15,17,2,9,11,2,3,5,0,4
2412,Drew Gordon,New Mexico,2011,35,12,20,2,4,10,2,1,4,0,5
2415,Angel Garcia,Memphis,2009,6,0,6,0,0,1,0,1,1,0,1
2415,Angel Garcia,Memphis,2010,3,2,1,0,2,1,0,0,1,0,1
2416,Emmanuel Negedu,New Mexico,2010,8,1,7,0,0,5,0,0,0,0,1
2419,Devoe Joseph,Minnesota,2009,3,1,2,0,0,2,0,1,2,0,2
2419,Devoe Joseph,Minnesota,2010,0,0,0,0,0,0,0,0,0,0,2
2419,Devoe Joseph,Oregon,2011,4,3,1,0,3,0,0,0,1,0,6
2421,Mike Moser,UCLA,2009,0,0,0,0,0,0,0,0,0,0,1
2421,Mike Moser,UNLV,2011,32,13,15,4,10,7,4,3,2,1,9
2421,Mike Moser,UNLV,2012,12,3,9,0,3,8,0,2,1,0,1
2421,Mike Moser,Oregon,2013,25,6,18,1,2,11,1,1,4,1,4
2439,Marvell Waithe,Arkansas,2010,11,5,6,0,3,3,0,1,3,0,0
