GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
5538,Julysses Nobles,Arkansas,2009,Fr,27,13,1,0,0,0,21,5,1,28,9,9,47,25
5540,Marshawn Powell,Arkansas,2009,Fr,187,120,73,32,27,21,122,43,12,36,8,3,124,79
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,7,3,1,0,0,0,0,0,0,1,0,0,14,8
2330,Michael Washington,Arkansas,2009,Sr,129,81,60,20,19,18,91,33,15,25,6,5,149,98
5544,Stefan Welsh,Arkansas,2009,Sr,40,26,8,1,1,0,28,5,0,80,23,22,40,23
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,24,12,9,0,0,0,24,7,5,16,4,4,26,13
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,0,12,4,4,0,0
16987,Jeremy Hence,Army,2009,Jr,62,36,17,1,1,0,21,3,1,35,10,10,40,22
16995,Mitch McDonald,Army,2009,Jr,14,6,2,0,0,0,12,6,3,2,0,0,5,4
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,49,26,3,0,0,0,64,21,5,97,29,19,51,35
16994,Marcus Nelson,Army,2009,Sr,82,50,17,2,2,2,21,6,0,3,0,0,60,33
16986,Jason Pancoe,Army,2009,Fr,2,2,1,0,0,0,1,0,0,7,1,1,1,1
16983,Cleveland Richard,Army,2009,Sr,78,50,22,0,0,0,132,38,13,114,36,33,80,60
16992,Julian Simmons,Army,2009,So,36,20,5,0,0,0,87,26,10,132,59,56,58,47
16989,Jon Sizemore,Army,2009,Sr,15,9,3,0,0,0,23,11,3,1,0,0,11,5
16990,Jordan Springer,Army,2009,Fr,2,0,0,0,0,0,1,0,0,0,0,0,2,1
16998,Tyrell Thompson,Army,2009,Sr,33,21,5,0,0,0,28,7,3,18,6,6,16,11
16982,Chris Walker,Army,2009,Sr,79,41,25,0,0,0,34,15,6,0,0,0,28,16
16985,Eric Zastoupil,Army,2009,Sr,40,26,14,0,0,0,25,11,8,7,0,0,28,21
5590,Ty Armstrong,Auburn,2009,Fr,17,12,6,2,2,1,19,7,1,0,0,0,13,9
5587,Rob Chubb,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,5,3,2,3,2,1,11,5,4,34,10,8,4,3
5586,Lucas Hargrove,Auburn,2009,Sr,126,82,27,17,16,4,81,35,12,95,26,23,108,76
5578,Brendan Knox,Auburn,2009,Sr,131,93,57,31,27,23,28,12,4,1,0,0,120,60
5582,Johnnie Lett,Auburn,2009,Sr,37,21,7,3,2,1,18,3,0,2,0,0,28,8
5577,Andre Malone,Auburn,2009,Fr,14,9,5,1,1,1,21,7,4,48,9,9,8,5
5589,Tony Neysmith,Auburn,2009,So,3,0,0,0,0,0,1,1,0,1,0,0,0,0
4818,DeWayne Reed,Auburn,2009,Sr,183,89,13,11,8,4,82,25,2,143,45,21,175,123
5579,Earnest Ross,Auburn,2009,Fr,26,13,5,1,1,1,13,2,1,63,14,14,21,13
5580,Frankie Sullivan,Auburn,2009,So,71,44,12,3,3,2,42,14,1,164,61,56,85,73
5583,Josh Wallace,Auburn,2009,Fr,6,1,0,0,0,0,4,3,0,3,1,1,13,7
5588,Tay Waller,Auburn,2009,Sr,34,25,18,4,4,3,40,21,3,206,84,68,36,27
5585,"Larry Williams, Jr.",Auburn,2009,Jr,1,1,0,0,0,0,0,0,0,4,1,0,1,1
11659,Justin Blake,Austin Peay,2009,Fr,24,17,8,0,0,0,13,6,2,93,31,29,40,26
11650,Caleb Brown,Austin Peay,2009,Jr,52,29,5,0,0,0,60,14,1,38,11,11,81,57
11661,Tyrone Caldwell,Austin Peay,2009,So,57,36,4,0,0,0,25,10,1,36,13,9,61,46
9444,Anthony Campbell,Austin Peay,2009,So,93,64,41,5,4,1,68,30,13,149,55,51,121,96
11662,Wesley Channels,Austin Peay,2009,Sr,116,57,12,2,2,0,126,37,4,153,68,62,163,121
11655,Ernest Fields,Austin Peay,2009,Sr,14,8,5,0,0,0,6,1,1,0,0,0,8,4
11658,John Fraley,Austin Peay,2009,So,133,84,48,30,27,23,63,18,9,0,0,0,134,85
11654,Eric Mosley,Austin Peay,2009,Fr,4,4,2,0,0,0,10,4,0,14,3,3,5,5
