GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
6649,Kyle Fogg,Arizona,2009,So,5.00%,12.77%,0.00%,28.57%,42.86%,26.92%,5.00%,2.13%,0.00%
6653,Solomon Hill,Arizona,2009,Fr,3.70%,17.86%,0.00%,28.57%,14.29%,14.29%,18.52%,3.57%,0.00%
6647,Jamelle Horne,Arizona,2009,Jr,7.69%,2.33%,1.82%,50.00%,24.14%,23.33%,30.77%,6.98%,14.29%
6641,Alex Jacobson,Arizona,2009,So,0.00%,0.00%,NA,NA,0.00%,NA,100.00%,0.00%,0.00%
2540,Lamont Jones,Arizona,2009,Fr,5.88%,14.29%,0.00%,50.00%,36.36%,38.46%,0.00%,0.00%,NA
6646,Garland Judkins,Arizona,2009,RS-So,NA,NA,NA,NA,NA,NA,NA,NA,NA
6642,Brendon Lavender,Arizona,2009,So,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,NA
6650,Kyryl Natyazhko,Arizona,2009,Fr,0.00%,21.43%,0.00%,33.33%,22.22%,50.00%,25.00%,14.29%,0.00%
6648,Kevin Parrom,Arizona,2009,Fr,20.00%,11.76%,0.00%,0.00%,58.33%,28.57%,40.00%,23.53%,0.00%
6643,D.J. Shumpert,Arizona,2009,So,NA,0.00%,NA,NA,100.00%,NA,NA,0.00%,NA
6644,Derrick Williams,Arizona,2009,Fr,4.41%,19.15%,0.00%,50.00%,35.48%,0.00%,8.82%,4.26%,0.00%
6645,Dondre Wise,Arizona,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,21.05%,8.62%,3.23%,42.11%,23.81%,14.63%,0.00%,0.00%,NA
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,0.00%,0.00%,NA,0.00%,33.33%,NA,0.00%,0.00%,NA
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,18.75%,9.38%,0.00%,70.00%,37.50%,25.00%,0.00%,4.69%,0.00%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,28.57%,25.00%,0.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,28.57%,15.00%,0.00%,40.00%,23.08%,0.00%,28.57%,10.00%,16.67%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,9.09%,30.43%,0.00%,57.14%,40.00%,37.50%,4.55%,8.70%,0.00%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,33.33%,50.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,NA
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,0.00%,25.00%,0.00%,0.00%,33.33%,28.57%,0.00%,12.50%,0.00%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,0.00%,16.67%,0.00%,50.00%,33.33%,14.29%,20.00%,16.67%,33.33%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,NA,0.00%,0.00%,NA,100.00%,0.00%,NA,0.00%,NA
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,0.00%,0.00%,0.00%,33.33%,50.00%,40.00%,0.00%,0.00%,NA
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0.00%,0.00%,NA,50.00%,100.00%,NA,20.00%,0.00%,0.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,18.75%,5.56%,0.00%,50.00%,62.50%,31.82%,0.00%,5.56%,0.00%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,0.00%,11.11%,0.00%,25.00%,33.33%,71.43%,3.33%,11.11%,0.00%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,10.00%,8.00%,0.00%,0.00%,24.24%,21.05%,20.00%,8.00%,0.00%
4550,Martavius Adams,Arkansas State ,2009,So,5.56%,0.00%,NA,16.67%,10.00%,NA,27.78%,0.00%,40.00%
19725,Rashad Allison,Arkansas State ,2009,Jr,50.00%,10.00%,0.00%,16.67%,33.33%,0.00%,0.00%,0.00%,NA
19719,Donald Boone,Arkansas State ,2009,RS-Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5976,JeJuan Brown,Arkansas State ,2009,Jr,7.69%,0.00%,0.00%,50.00%,25.00%,NA,7.69%,0.00%,0.00%
19718,Daniel Bryant,Arkansas State ,2009,So,0.00%,16.67%,0.00%,60.00%,20.00%,36.84%,0.00%,0.00%,NA
19721,Justin Butler,Arkansas State ,2009,Jr,0.00%,NA,0.00%,0.00%,NA,0.00%,0.00%,NA,NA
19726,Trey Finn,Arkansas State ,2009,Fr,16.67%,0.00%,0.00%,0.00%,60.00%,50.00%,16.67%,0.00%,0.00%
19724,Michael Lance,Arkansas State ,2009,Sr,NA,NA,0.00%,NA,NA,50.00%,NA,NA,NA
19716,Brandon Peterson,Arkansas State ,2009,Fr,0.00%,12.50%,0.00%,50.00%,16.67%,0.00%,25.00%,25.00%,0.00%
19717,Brandon Reed,Arkansas State ,2009,Fr,38.46%,6.25%,0.00%,50.00%,50.00%,15.38%,7.69%,0.00%,0.00%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,NA,NA,0.00%,NA,NA,0.00%,NA,NA,NA
19720,Jeremy Thomas,Arkansas State ,2009,Jr,0.00%,NA,NA,NA,NA,NA,33.33%,NA,0.00%
